date,kaf,,kaf
6/30/83,228.6900331,,280.030365
7/31/83,1332.585148,,95.087786
8/31/83,258.7905683,,62.073382
9/30/83,1375.62671,,0
10/31/83,394.958308,,22.49239
11/30/83,317.4873948,,315.207977
12/31/83,433.3878729,,433.93634
1/31/84,155.0186272,,155.027893
2/29/84,2289.032233,,48.288348
3/31/84,1996.221186,,180.218624
4/30/84,355.9257881,,294.937319
5/31/84,164.5652172,,819.01123
6/30/84,998.5836296,,1034.185181
7/31/84,701.7285,,1317.678223
8/31/84,646.1561274,,851.01123
9/30/84,355.8884636,,1288.576538
10/31/84,351.8633319,,142.304947
11/30/84,1055.056619,,335.3457804
12/31/84,122.7679071,,367.564958
1/31/85,313.913009,,374.347903
2/28/85,272.2765237,,340.463823
3/31/85,448.7395861,,407.830759
4/30/85,379.9491286,,543.00946
5/31/85,489.2245,,868.485352
6/30/85,681.5575,,1056.697754
7/31/85,702.6309904,,1014.740601
8/31/85,457.7805,,896.54425
9/30/85,478.0308598,,246.650574
10/31/85,530.3990217,,260.303925
11/30/85,368.8669073,,335.004136
12/31/85,390.2649248,,518.319414
1/31/86,568.3487874,,556.625979
2/28/86,489.25615,,489.256622
3/31/86,360.9360311,,360.940186
4/30/86,79.78044944,,80.69957
5/31/86,112.8382172,,128.208315
6/30/86,264.5952719,,563.333994
7/31/86,613.6889904,,1110.260986
8/31/86,82.57212744,,818.84375
